all,chinese, u_s,name,
中国矿业大学(北京)：简称“中国矿大(北京)”，英文缩写CUMTB,中国矿业大学(北京)：简称“中国矿大(北京)”，,CUMTB,中国矿业大学,CUMTB: 中国矿业大学
中国地质大学(北京)：简称“地大”或“北京地大”,中国地质大学(北京)：简称“地大”或“北京地,大”,中国地质大学,大”: 中国地质大学
中国石油大学(北京)：简称“中石大”，英文缩写CUP,中国石油大学(北京)：简称“中石大”，英文,CUP,中国石油大学,CUP: 中国石油大学
中央音乐学院：英文缩写CCOM,中央音乐学院：英文缩写,CCOM,中央音乐学院,CCOM: 中央音乐学院
北京邮电大学：简称“北邮”，英文缩写BUPT,北京邮电大学：简称“北邮”，英文缩写,BUPT,北京邮电大学,BUPT: 北京邮电大学
南京理工大学：简称“南理工”，英文缩写NJUST,南京理工大学：简称“南理工”，英文缩写,NJUST,南京理工大学,NJUST: 南京理工大学
哈尔滨工程大学：简称“哈工程”，英文缩写HEU,哈尔滨工程大学：简称“哈工程”，英文缩写,HEU,哈尔滨工程大学,HEU: 哈尔滨工程大学
南京航空航天大学：简称“南航”，英文缩写为NUAA,南京航空航天大学：简称“南航”，英文缩写为,NUAA,南京航空航天大学,NUAA: 南京航空航天大学
,,sues,上海工程技术大学,
,,icourse,爱课程,
