,课程名,专业类别,所属大学,开课次数,开课日期,结课日期,学时安排,持续周数,当前状态,参加人数,课程评价数,授课教师
659,机械制造基础,工学,西北工业大学,5,2019-03-04,2019-06-30,2.5,17,立即参加,1773,37,齐乐华教授、博导杨方副教授周计明教授、博导罗俊副教授赵志龙教授付佳伟副教授任海果讲师张瑞荣讲师
660,中学化学教学设计与实践,教育教学,北京师范大学,5,2019-02-25,2019-05-31,2.5,14,立即参加,2496,142,王磊教授、博士生导师胡久华教授、博士生导师魏锐副教授
661,数据库系统（上）：模型与语言,计算机,哈尔滨工业大学,7,2019-02-18,2019-06-16,4.0,17,立即参加,7541,339,战德臣教授 博士生导师张丽杰教授史建焘高级工程师周丽娜讲师宋巧红副研究员
662,走向深度的合作学习,教育教学,爱课程,8,2019-03-11,2019-05-05,4.5,8,立即参加,2515,544,刘徽浙江大学教育学院副教授，硕士生导师浙江大学课程与学习科学系副系主任。
663,中学语文名篇选讲,文学文化,福建师范大学,5,2019-03-01,2019-06-07,4.0,15,立即参加,4302,120,孙绍振教授、博导
664,外科手术技能教学,医药卫生,同济大学,9,2019-03-12,2019-06-20,3.0,15,立即参加,6608,105,房林教授，主任医师，博士生导师，外科总论教研室主任蒋欣讲师郑立君讲师孟红波讲师王磊讲师陈磊讲师菅伟普外科主治医师李晓宇讲师
665,软件测试与质量,计算机,华中科技大学,3,2018-10-15,2018-12-24,4.0,11,老师已关闭该学期，无法查看,7375,21,武剑洁副教授吴涛教授万琳副教授
666,高等数学（三）,理学,国防科技大学,6,2019-02-25,2019-04-14,4.0,7,立即参加,15891,39,朱健民教授李建平教授黄建华教授王晓教授周敏教授刘雄伟副教授罗永副教授赵侠副教授吴强副教授王焱副教授
667,病理与健康,医药卫生,东南大学,4,2019-03-04,2019-06-14,4.0,15,立即参加,2752,58,陈平圣教授卜晓东副教授张爱凤副教授
668,工程图学,工学,上海交通大学,3,2019-03-18,2019-07-15,4.0,18,立即参加,1745,49,蒋丹教授赵新明副教授胡静讲师杨培中教授张晓云副教授焦素娟副研究员胡小锋副教授高红副教授高怡特别研究员韩向新副教授奚学程副教授周忠岳讲师
669,中医养生与亚健康防治,医药卫生,暨南大学,4,2019-03-12,2019-05-28,2.0,12,立即参加,6051,311,孙升云教授，主任医师，广东省名中医朱诗平讲师罗雪花讲师陈秋芳讲师
670,通信原理,工学,南京邮电大学,4,2019-02-18,2019-06-14,4.0,17,立即参加,3136,50,何雪云副教授曹士坷教授朱彤副教授储婉琴讲师张翠芳副教授董恒副教授周小燕讲师梁彦副教授
671,职场沟通英语,外语,电子科技大学,4,2019-03-25,2019-06-09,2.5,11,立即参加,4992,20,刘畅讲师何曲副教授毛樟龙讲师
672,中学生物学教学设计,教育教学,华中师范大学,4,2019-03-01,2019-06-01,4.0,14,立即参加,1353,139,崔鸿教授
